n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,mae_gen_0,mae_gen_1,mae_gen_2,mae_gen_3,mae_gen_4,mae_gen_5,mae_gen_6,mae_gen_7,mae_gen_8,mae_gen_9,final_mae,time
10,10,2,1,0.4,0.4,189.46800000000002,62.400999999999996,56.94200000000001,50.42,51.971000000000004,55.53099999999999,53.622,61.721000000000004,62.89399999999999,54.40500000000001,69.9375,0.012203679084777833
10,30,2,1,0.4,0.4,172.63000000000002,66.548,56.705,49.789,52.150999999999996,55.083000000000006,52.895,62.706999999999994,61.10200000000001,53.979,68.3589,0.010588786602020263
10,50,2,1,0.4,0.4,179.56199999999995,61.723,56.423,49.03,52.751999999999995,55.57800000000001,53.025,59.665000000000006,62.355999999999995,54.46500000000001,68.4579,0.011975536346435547
10,None,2,1,0.4,0.4,177.76600000000002,60.761,56.20400000000001,49.653,53.979,56.272000000000006,53.878,61.267999999999994,63.08800000000001,55.122,68.79909999999998,0.011279795169830322
30,10,2,1,0.4,0.4,172.16,60.387,55.193,48.584,51.149,53.090999999999994,51.38199999999999,59.27900000000001,61.223,51.95700000000001,66.4405,0.02807518482208252
30,30,2,1,0.4,0.4,171.79,63.065999999999995,55.88099999999999,48.206,51.40000000000001,52.787,51.625,59.599000000000004,59.754,51.277,66.53850000000001,0.03244511365890503
30,50,2,1,0.4,0.4,168.37099999999995,61.436,54.83300000000001,48.643,51.153,53.404999999999994,51.141000000000005,59.93599999999999,60.931999999999995,51.42,66.12699999999998,0.042456011772155765
30,None,2,1,0.4,0.4,170.097,60.041999999999994,56.11600000000001,48.493,51.590999999999994,52.52900000000001,52.242000000000004,59.975,61.126,51.46300000000001,66.3674,0.04322275400161743
50,10,2,1,0.4,0.4,171.853,60.818,55.61899999999999,48.001000000000005,51.443000000000005,53.321000000000005,51.42,60.50999999999999,59.71500000000001,50.71,66.34100000000001,0.05260310411453247
50,30,2,1,0.4,0.4,175.03500000000003,60.10600000000001,54.431999999999995,47.56700000000001,51.019999999999996,53.17700000000001,51.532000000000004,59.67199999999999,60.122,50.076,66.2739,0.04607172966003418
50,50,2,1,0.4,0.4,169.937,59.557,55.260000000000005,47.662,51.399,52.74799999999999,51.277,60.077,60.16600000000001,49.811,65.78940000000001,0.04555666208267212
50,None,2,1,0.4,0.4,176.29800000000003,59.138,55.178999999999995,47.898,50.98599999999999,52.221000000000004,51.291999999999994,58.955999999999996,59.864999999999995,49.93599999999999,66.17690000000002,0.041726105213165283
100,10,2,1,0.4,0.4,175.26600000000002,60.17100000000001,55.202,47.842,51.08299999999999,52.461,51.065,58.98,60.06199999999999,50.769000000000005,66.2901,0.09250590324401856
100,30,2,1,0.4,0.4,172.13500000000005,58.664,54.428,47.38700000000001,50.418000000000006,52.709,51.001,58.85300000000001,60.14399999999999,50.349000000000004,65.6088,0.09263993978500366
100,50,2,1,0.4,0.4,173.737,59.688,54.92,47.269,50.842999999999996,52.1,51.15299999999999,58.608999999999995,59.763,49.767999999999994,65.785,0.09469598770141602
100,None,2,1,0.4,0.4,173.739,60.596000000000004,54.53399999999999,47.568,50.749,52.38099999999999,51.355999999999995,58.809000000000005,59.69699999999999,50.208,65.96369999999999,0.0914277696609497
10,10,4,1,0.4,0.4,175.80800000000002,64.645,57.842999999999996,50.845000000000006,53.534000000000006,54.53000000000001,54.178,62.225,64.03,53.782000000000004,69.14200000000001,0.011404407024383546
10,30,4,1,0.4,0.4,168.105,63.75899999999999,57.723,51.357000000000006,54.36500000000001,56.907000000000004,53.918000000000006,62.455,63.04,54.96500000000001,68.65939999999999,0.01165032148361206
10,50,4,1,0.4,0.4,171.73700000000002,64.819,57.94799999999999,50.202999999999996,53.842,55.178999999999995,53.253,64.189,62.760000000000005,55.44100000000001,68.9371,0.011172189712524414
10,None,4,1,0.4,0.4,177.205,65.797,57.94199999999999,51.224000000000004,54.282000000000004,55.825,55.415000000000006,61.761,64.86800000000001,55.71099999999999,70.00300000000001,0.010799322128295898
30,10,4,1,0.4,0.4,174.66200000000003,61.13500000000001,57.14200000000001,49.03699999999999,52.971000000000004,53.96999999999999,52.95799999999999,61.616,62.564,53.592000000000006,67.9647,0.02620049238204956
30,30,4,1,0.4,0.4,174.71800000000002,61.742999999999995,56.99199999999998,49.504000000000005,52.666,54.009,53.004,61.145999999999994,61.099000000000004,52.23199999999999,67.7113,0.02638432741165161
30,50,4,1,0.4,0.4,176.722,63.355000000000004,57.38100000000001,49.179,52.653,54.939,53.04299999999999,60.846000000000004,61.396,52.374,68.18879999999999,0.026188700199127196
30,None,4,1,0.4,0.4,174.078,62.49400000000001,57.61800000000001,48.449999999999996,53.258,54.053,52.50500000000001,61.758,62.40899999999999,52.463,67.90859999999999,0.027353594303131102
50,10,4,1,0.4,0.4,171.07099999999997,62.872,56.364999999999995,48.907000000000004,52.27900000000001,53.5,52.916999999999994,61.616,61.07499999999999,51.40100000000001,67.20030000000001,0.04352678060531616
50,30,4,1,0.4,0.4,171.958,62.91000000000001,57.718999999999994,49.090999999999994,52.49399999999999,53.748000000000005,52.41600000000001,61.418000000000006,62.044000000000004,52.43900000000001,67.6237,0.04373235702514648
50,50,4,1,0.4,0.4,175.528,60.943999999999996,57.232000000000006,49.094,52.33600000000001,53.592999999999996,52.736000000000004,61.075,61.88799999999999,52.114,67.65400000000001,0.04328053712844849
50,None,4,1,0.4,0.4,170.03699999999998,61.761999999999986,57.024,49.006,52.693,53.916999999999994,52.474000000000004,61.251999999999995,61.605999999999995,51.83,67.1601,0.04321503400802612
100,10,4,1,0.4,0.4,173.171,62.85999999999999,56.98299999999999,49.064,51.903999999999996,53.726,52.42800000000001,60.97399999999999,61.165,52.065999999999995,67.43409999999999,0.09347433090209961
100,30,4,1,0.4,0.4,171.06099999999998,61.896,57.07000000000001,49.039,52.259,53.525999999999996,52.330000000000005,61.35300000000001,60.898,51.53399999999999,67.09660000000001,0.09063008785247803
100,50,4,1,0.4,0.4,169.894,61.918000000000006,56.803999999999995,49.044,52.335,53.608000000000004,52.48599999999999,61.307,60.830999999999996,51.028,66.9255,0.09246363878250122
100,None,4,1,0.4,0.4,174.57800000000003,60.613,56.629999999999995,48.711999999999996,52.153,53.120999999999995,52.47399999999999,60.66400000000001,61.212,51.352999999999994,67.151,0.08402935266494752
10,10,6,1,0.4,0.4,186.10399999999998,67.65,59.663,52.12600000000001,55.712,56.415,56.43399999999999,66.417,64.711,56.102,72.1334,0.010632154941558837
10,30,6,1,0.4,0.4,177.99200000000002,63.42999999999999,59.11099999999999,51.751,55.952,56.842,56.472,63.431000000000004,63.874,56.480999999999995,70.5336,0.01066312074661255
10,50,6,1,0.4,0.4,177.457,65.797,58.91099999999999,51.837,56.0,57.12300000000001,55.983000000000004,64.97,65.707,57.42700000000001,71.1212,0.010959854125976562
10,None,6,1,0.4,0.4,172.15099999999998,66.19300000000001,59.387,53.004999999999995,54.867999999999995,56.636,56.29200000000001,65.154,65.064,57.428999999999995,70.61789999999999,0.01069263219833374
30,10,6,1,0.4,0.4,172.602,62.48499999999999,58.653,50.805,54.872,55.967999999999996,54.443,64.026,63.197,54.363000000000014,69.1414,0.026751840114593507
30,30,6,1,0.4,0.4,173.37499999999997,64.28800000000001,58.884,50.883,54.42999999999999,55.596000000000004,54.09100000000001,63.777,62.799,55.225,69.3348,0.02675619125366211
30,50,6,1,0.4,0.4,168.307,63.150999999999996,58.641000000000005,50.753,54.456999999999994,55.414,54.791,63.98199999999999,62.919,53.82899999999999,68.6244,0.027039761543273925
30,None,6,1,0.4,0.4,175.22699999999998,63.385000000000005,58.565999999999995,50.947,54.617,55.462,54.82000000000001,63.312,64.03,54.59000000000001,69.4956,0.02711190700531006
50,10,6,1,0.4,0.4,173.735,62.94500000000001,59.126999999999995,50.723,54.41700000000001,54.541999999999994,54.372,63.528,63.888999999999996,53.42099999999999,69.0699,0.0429023289680481
50,30,6,1,0.4,0.4,169.049,63.288,58.773,50.543,54.431000000000004,55.145,54.224000000000004,63.39,62.56600000000001,53.359,68.47680000000001,0.04287769556045532
50,50,6,1,0.4,0.4,173.43,64.59899999999999,59.13000000000001,50.51,54.3,55.194,54.017999999999994,63.705999999999996,62.30100000000001,53.117999999999995,69.0306,0.04280517816543579
50,None,6,1,0.4,0.4,174.945,63.32800000000001,58.669,50.941,54.20399999999999,55.519999999999996,54.34599999999999,63.398,63.734,53.44,69.25250000000001,0.043709025382995606
100,10,6,1,0.4,0.4,173.376,63.09599999999999,58.51700000000001,50.440000000000005,54.016,54.970000000000006,54.048,63.166999999999994,62.552,53.400999999999996,68.75829999999999,0.09382308959960937
100,30,6,1,0.4,0.4,174.726,63.196000000000005,58.71999999999999,50.59400000000001,54.402,55.06500000000001,53.902,62.785000000000004,62.8,53.273,68.9463,0.08413094758987427
100,50,6,1,0.4,0.4,171.823,62.012,58.544000000000004,50.456999999999994,54.113,55.19699999999999,54.172000000000004,63.10999999999999,62.44899999999999,53.084,68.4961,0.08724099397659302
100,None,6,1,0.4,0.4,173.41299999999998,61.3,58.787,50.54,54.504,54.76500000000001,54.173,63.477999999999994,63.16099999999999,53.249,68.737,0.08742571115493775
10,10,8,1,0.4,0.4,181.98000000000002,72.56300000000002,61.242,53.818,56.114999999999995,57.81099999999999,55.951,68.251,69.18800000000002,58.65599999999999,73.55749999999999,0.01086064338684082
10,30,8,1,0.4,0.4,167.06,64.33600000000001,59.778,53.629999999999995,58.742999999999995,57.733999999999995,56.760000000000005,67.547,65.84200000000001,58.857000000000006,71.02869999999999,0.010409326553344726
10,50,8,1,0.4,0.4,176.03699999999998,65.20499999999998,61.04200000000001,53.208000000000006,58.17500000000001,57.99400000000001,58.122,67.893,66.80000000000001,57.455,72.19309999999999,0.010902910232543946
10,None,8,1,0.4,0.4,179.1,66.792,61.114999999999995,53.226,58.205,58.943,57.04299999999999,67.049,67.909,58.586,72.79679999999999,0.011378157138824462
30,10,8,1,0.4,0.4,176.086,65.881,61.188,52.18399999999999,57.043000000000006,57.321000000000005,56.013999999999996,65.76199999999999,65.66299999999998,56.023,71.3165,0.026329708099365235
30,30,8,1,0.4,0.4,170.9,65.675,60.821000000000005,52.30499999999999,56.717000000000006,56.593,56.48,65.952,65.794,56.05899999999999,70.72959999999999,0.030008301734924317
30,50,8,1,0.4,0.4,179.11200000000002,64.976,60.479,52.166999999999994,56.788,56.209,56.650999999999996,66.12899999999999,65.636,55.99899999999999,71.4146,0.03222888469696045
30,None,8,1,0.4,0.4,175.59200000000004,64.248,60.8,52.293000000000006,56.004999999999995,57.376,56.364,66.474,65.34700000000001,56.217999999999996,71.07169999999999,0.029150846004486083
50,10,8,1,0.4,0.4,174.06199999999995,64.664,60.092,52.07000000000001,56.406000000000006,56.63399999999999,56.330999999999996,65.857,65.418,55.257000000000005,70.67909999999999,0.041003592014312744
50,30,8,1,0.4,0.4,177.89,64.718,60.400999999999996,52.132000000000005,56.830000000000005,56.928,56.24499999999999,65.9,64.063,55.35699999999999,71.0464,0.04235985279083252
50,50,8,1,0.4,0.4,174.699,64.39400000000002,60.254999999999995,52.193,55.84599999999999,56.751999999999995,56.051,65.70100000000001,65.08399999999999,55.678,70.66529999999999,0.04393389463424682
50,None,8,1,0.4,0.4,174.875,65.048,60.959,51.926,56.48299999999999,56.338999999999984,56.068000000000005,65.85499999999999,64.559,55.573,70.76849999999999,0.043625097274780276
100,10,8,1,0.4,0.4,176.74399999999997,64.723,60.212,51.840999999999994,56.214999999999996,55.951,55.852999999999994,65.47899999999998,65.364,55.461,70.7843,0.09016404390335082
100,30,8,1,0.4,0.4,175.647,64.155,59.46900000000001,51.69599999999999,56.043000000000006,56.1,56.278,65.444,64.70399999999998,55.749,70.5285,0.08342983484268189
100,50,8,1,0.4,0.4,172.627,64.86800000000001,60.01700000000001,51.80400000000001,55.939,56.209,56.364,65.96000000000001,64.497,55.42100000000001,70.3706,0.0832725477218628
100,None,8,1,0.4,0.4,176.378,63.82000000000001,59.972,51.947,56.176,55.815999999999995,56.090999999999994,65.753,64.195,55.632999999999996,70.57809999999999,0.08631685733795166
10,10,2,2,0.4,0.4,168.984,63.263,60.76500000000001,52.376999999999995,55.702,57.108000000000004,55.455999999999996,63.342999999999996,66.326,57.400999999999996,70.0725,0.013565375804901122
10,30,2,2,0.4,0.4,173.27799999999996,64.996,61.616,52.595000000000006,55.32000000000001,56.29899999999999,56.948,63.916999999999994,65.91499999999999,55.79600000000001,70.66799999999999,0.010939173698425293
10,50,2,2,0.4,0.4,177.81400000000002,63.016000000000005,61.291,53.109,55.392999999999994,58.126,55.501999999999995,65.674,67.116,57.11400000000001,71.4155,0.01059551477432251
10,None,2,2,0.4,0.4,180.932,62.977,61.498000000000005,52.775,55.199,58.245999999999995,54.89300000000001,66.06899999999999,65.099,57.838,71.5526,0.010481595993041992
30,10,2,2,0.4,0.4,168.07999999999998,61.97800000000002,60.213999999999984,50.761,54.229,56.39799999999999,54.424,63.638999999999996,63.345000000000006,53.397000000000006,68.6465,0.026600160598754884
30,30,2,2,0.4,0.4,176.477,63.307,60.664,50.759,53.801,55.89,54.444,63.535000000000004,62.826,54.997,69.66999999999999,0.027335443496704102
30,50,2,2,0.4,0.4,174.75799999999998,61.415000000000006,60.479,51.492,54.58399999999999,55.727,55.257999999999996,62.425,64.391,53.73100000000001,69.42599999999999,0.02698658227920532
30,None,2,2,0.4,0.4,171.41,62.03900000000001,59.497,50.894,53.69100000000001,56.291999999999994,54.599000000000004,63.187,64.36099999999999,55.449,69.14189999999999,0.027712903022766112
50,10,2,2,0.4,0.4,169.584,61.428,59.98299999999999,50.871,53.876999999999995,55.775,54.04,62.798,63.512000000000015,53.580000000000005,68.54480000000001,0.043688013553619384
50,30,2,2,0.4,0.4,174.093,61.491,60.263,50.635000000000005,54.289,55.34000000000001,54.84100000000001,63.392999999999994,63.30799999999999,53.96200000000001,69.1615,0.04412590026855469
50,50,2,2,0.4,0.4,171.824,61.608999999999995,59.52700000000001,51.182,53.573,55.67,53.926,62.117,63.448,53.659000000000006,68.6535,0.044124512672424315
50,None,2,2,0.4,0.4,172.957,61.72600000000001,60.22700000000001,50.903999999999996,54.00699999999999,56.039,54.455999999999996,63.047000000000004,62.80400000000001,54.074,69.02409999999999,0.04389472961425781
100,10,2,2,0.4,0.4,173.398,61.315,60.285000000000004,50.316,53.824,55.773,54.37800000000001,63.096000000000004,63.306,53.313,68.9004,0.0855206561088562
100,30,2,2,0.4,0.4,173.07600000000002,61.624,59.663,50.418000000000006,53.754,55.473,54.382999999999996,62.864999999999995,62.952,53.711,68.7919,0.08621034145355225
100,50,2,2,0.4,0.4,172.303,61.58,60.34599999999999,50.541,54.044,55.686,54.113,62.562,63.165,53.846999999999994,68.81869999999999,0.086662278175354
100,None,2,2,0.4,0.4,176.97899999999998,62.126999999999995,59.958000000000006,50.468,54.120000000000005,55.57899999999999,53.876,62.48899999999999,62.80000000000001,54.062,69.2458,0.08941668272018433
10,10,4,2,0.4,0.4,175.88099999999997,63.11,62.063,51.751999999999995,55.872,58.510000000000005,55.016,64.90900000000002,64.522,57.35,70.89850000000001,0.013258037567138671
10,30,4,2,0.4,0.4,176.546,66.372,61.46,52.081999999999994,55.227999999999994,57.093999999999994,57.364,64.08900000000001,66.12,56.00500000000001,71.236,0.012844233512878419
10,50,4,2,0.4,0.4,178.68299999999996,65.355,61.09400000000001,51.818,55.339,57.49300000000001,56.557,65.25300000000001,65.65299999999999,56.379,71.36240000000001,0.01325479507446289
10,None,4,2,0.4,0.4,182.699,65.11699999999999,62.000000000000014,52.263999999999996,55.23,57.40400000000001,56.07000000000001,63.684000000000005,65.901,56.614,71.6983,0.012205007076263428
30,10,4,2,0.4,0.4,174.59499999999997,63.746,60.511,50.642,54.20399999999999,56.121,54.838,63.237,63.545,54.46900000000001,69.5908,0.030145375728607177
30,30,4,2,0.4,0.4,174.24900000000002,61.05899999999999,59.955000000000005,50.49499999999999,54.00699999999999,56.044,54.488,62.583000000000006,63.326,54.586,69.0792,0.029558494091033935
30,50,4,2,0.4,0.4,174.51600000000002,59.18300000000001,60.519000000000005,50.64,54.602,55.427,54.409000000000006,62.44000000000001,63.358000000000004,54.278999999999996,68.93730000000001,0.027261459827423097
30,None,4,2,0.4,0.4,174.91199999999998,60.763999999999996,59.916999999999994,50.635999999999996,54.076,55.67900000000001,54.333000000000006,63.78900000000001,63.891,54.428,69.24249999999999,0.029315099716186524
50,10,4,2,0.4,0.4,173.606,62.22099999999999,60.447,50.95799999999999,54.00199999999999,55.681999999999995,54.30100000000001,62.95,63.50899999999999,54.334,69.201,0.042882251739501956
50,30,4,2,0.4,0.4,172.04900000000004,61.636,60.626999999999995,50.68,54.02299999999999,54.948,54.152,62.577,63.040000000000006,53.449,68.71809999999999,0.04595200061798096
50,50,4,2,0.4,0.4,169.55300000000003,61.779999999999994,60.24799999999999,50.589000000000006,54.062,55.602,54.251,62.750000000000014,63.54600000000001,54.499,68.68800000000002,0.04297961473464966
50,None,4,2,0.4,0.4,175.914,60.71500000000001,60.851,50.803000000000004,54.31600000000001,55.775999999999996,54.836,62.68499999999999,62.46900000000001,54.07899999999999,69.2444,0.04175690889358521
100,10,4,2,0.4,0.4,172.99100000000004,60.68900000000001,60.345000000000006,50.614999999999995,54.173,55.175,54.291,63.02,63.129999999999995,53.727999999999994,68.8157,0.08500930786132813
100,30,4,2,0.4,0.4,173.284,60.71099999999999,60.04299999999999,50.42200000000001,53.88399999999999,55.488,54.352999999999994,63.111000000000004,63.186,53.57099999999999,68.8053,0.08323659420013428
100,50,4,2,0.4,0.4,173.253,60.791,60.020999999999994,50.434999999999995,53.71900000000001,55.343,54.01700000000001,63.31500000000001,62.897000000000006,54.023,68.7814,0.08726612091064453
100,None,4,2,0.4,0.4,173.82900000000004,61.519999999999996,59.90500000000001,50.616,54.02,55.254000000000005,54.492,62.961,63.166999999999994,53.359,68.91230000000002,0.09057647228240967
10,10,6,2,0.4,0.4,173.927,63.123000000000005,62.56899999999998,53.189,56.491,58.03099999999999,56.742999999999995,65.224,66.99699999999999,57.649,71.3943,0.013249833583831788
10,30,6,2,0.4,0.4,168.80599999999998,66.67800000000001,61.794999999999995,53.71199999999999,56.89399999999999,57.702999999999996,56.273,65.84400000000001,66.393,57.937,71.20349999999999,0.010734968185424805
10,50,6,2,0.4,0.4,175.935,62.528,61.674,53.086,56.85999999999999,57.701,57.234,65.79299999999998,66.756,57.253,71.482,0.012095520496368408
10,None,6,2,0.4,0.4,170.61299999999997,64.562,61.102999999999994,52.388,57.14300000000001,58.018999999999984,56.080999999999996,64.98,66.589,55.903999999999996,70.73819999999998,0.010355539321899414
30,10,6,2,0.4,0.4,174.384,64.29499999999999,61.485,52.39000000000001,55.249,57.17600000000001,55.751,65.63000000000001,64.334,56.95799999999999,70.7652,0.028716413974761962
30,30,6,2,0.4,0.4,173.781,63.848,60.617,52.411,55.847,57.39,55.938,65.465,64.399,55.52700000000001,70.5223,0.0268406081199646
30,50,6,2,0.4,0.4,169.897,62.32000000000001,61.36200000000001,51.827999999999996,55.15,56.333000000000006,55.874,64.149,65.208,55.94199999999999,69.8063,0.028647825717926026
30,None,6,2,0.4,0.4,174.58,61.63399999999999,61.536,52.24400000000001,55.90400000000001,57.352,55.57899999999999,65.02000000000001,63.833000000000006,55.861000000000004,70.3543,0.027528204917907716
50,10,6,2,0.4,0.4,177.18599999999998,61.366,61.59900000000001,51.416999999999994,55.352,56.541,55.483000000000004,64.95599999999999,64.392,55.122,70.3414,0.041439650058746336
50,30,6,2,0.4,0.4,175.558,64.015,61.473,51.534000000000006,54.813,56.786,55.39399999999999,64.55499999999999,64.924,55.25899999999999,70.43109999999999,0.043043553829193115
50,50,6,2,0.4,0.4,176.20100000000002,63.375000000000014,62.42600000000001,51.77,55.241,56.11400000000001,55.463,64.663,64.929,54.985,70.5167,0.04250869035720825
50,None,6,2,0.4,0.4,178.78,63.69700000000002,61.599000000000004,52.086,55.588,56.67299999999999,55.644000000000005,65.025,65.101,55.54200000000001,70.97350000000002,0.04294926404953003
