trees,depth,min_samples_split,min_samples_leaf,variables,samples,mae_gen_0,mae_gen_1,mae_gen_2,mae_gen_3,mae_gen_4,mae_gen_5,mae_gen_6,mae_gen_7,mae_gen_8,mae_gen_9,final_mae,time
10,10,2,1,0.4,0.4,285.894,85.607,43.713,75.59,54.005,35.202,36.862,37.603,35.153,46.363,73.5992,0.011458785533905
10,30,2,1,0.4,0.4,287.275,85.588,44.27,74.033,56.326,33.691,35.853,37.759,35.945,46.288,73.7028,0.0103438591957092
10,50,2,1,0.4,0.4,286.161,87.612,44.345,70.203,59.418,33.716,36.193,37.449,36.024,44.387,73.5508,0.0104000425338745
10,None,2,1,0.4,0.4,280.827,84.605,44.029,71.35,58.063,34.504,36.84,35.968,37.138,44.118,72.7442,0.0107382559776306
30,10,2,1,0.4,0.4,284.071,86.149,41.627,70.608,56.28,30.75,35.902,34.309,33.454,41.412,71.4562,0.0273733687400818
30,30,2,1,0.4,0.4,284.636,84.993,41.642,73.343,52.743,30.846,33.671,34.53,33.285,39.285,70.8974,0.0260758113861084
30,50,2,1,0.4,0.4,285.622,83.901,42.741,71.298,56.88,30.775,33.336,34.409,34.433,40.664,71.4059,0.0260642123222351
30,None,2,1,0.4,0.4,289.296,84.862,42.284,72.327,55.305,30.751,34.634,34.945,33.012,40.121,71.7537,0.0260582685470581
50,10,2,1,0.4,0.4,285.69,84.499,41.721,70.408,55.66,29.877,34.282,33.9,32.44,39.809,70.8286,0.0411648750305176
50,30,2,1,0.4,0.4,283.039,85.02,41.613,70.388,55.102,29.711,33.29,34.304,32.803,38.921,70.4191,0.0414215636253357
50,50,2,1,0.4,0.4,287.583,84.853,41.337,70.604,54.979,29.041,32.863,33.972,32.051,39.977,70.726,0.0415150666236877
50,None,2,1,0.4,0.4,284.313,85.718,41.599,71.681,55.233,29.716,33.087,32.781,31.858,39.28,70.5266,0.0413603711128235
100,10,2,1,0.4,0.4,283.188,85.746,40.971,70.809,55.634,29.628,32.898,33.23,31.948,38.6,70.2652,0.0799919629096985
100,30,2,1,0.4,0.4,285.975,84.611,41.118,71.59,54.559,29.429,32.453,32.832,32.241,38.173,70.2981,0.0799515438079834
100,50,2,1,0.4,0.4,285.642,83.565,40.79,72.416,55.203,29.061,32.12,33.067,32.188,38.95,70.3002,0.0833711910247803
100,None,2,1,0.4,0.4,285.616,85.024,41.091,71.536,55.685,29.19,33.714,32.793,32.047,38.267,70.4963,0.0840661120414734
10,10,4,1,0.4,0.4,285.046,91.339,45.587,74.917,60.212,33.664,38.479,39.75,35.793,46.39,75.1177,0.010657856464386
