n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,mae_gen_0,mae_gen_1,mae_gen_2,mae_gen_3,mae_gen_4,mae_gen_5,mae_gen_6,mae_gen_7,mae_gen_8,mae_gen_9,final_mae,time
10,10,2,1,0.4,0.4,209.53400000000002,155.122,98.428,75.354,61.55,60.82099999999999,80.515,69.992,54.63000000000001,59.782000000000004,92.5728,0.01455228090286255
10,30,2,1,0.4,0.4,224.869,148.611,98.61400000000002,72.58399999999999,62.488,58.99300000000001,78.569,69.494,52.26899999999999,61.38799999999999,92.78790000000001,0.013541398048400878
10,50,2,1,0.4,0.4,227.18800000000002,153.96300000000002,100.78200000000001,74.53999999999999,58.959,60.986000000000004,79.89399999999999,69.79199999999999,53.150999999999996,62.68499999999999,94.19399999999999,0.012731194496154785
10,None,2,1,0.4,0.4,214.19299999999998,145.752,96.845,73.284,63.41799999999999,60.545,80.37199999999999,70.257,52.688,60.876999999999995,91.8231,0.012082834243774414
30,10,2,1,0.4,0.4,202.86599999999999,148.626,97.53599999999999,73.756,61.611000000000004,58.211,79.206,67.13500000000002,51.242,58.697,89.88859999999998,0.027503321170806883
30,30,2,1,0.4,0.4,203.44699999999997,146.40699999999998,94.74,72.275,61.19200000000001,58.367999999999995,77.29799999999999,66.409,52.956999999999994,57.50599999999999,89.0599,0.027667107582092284
30,50,2,1,0.4,0.4,200.603,147.731,96.93599999999999,72.079,60.33399999999999,59.016,77.57000000000001,67.247,51.644000000000005,59.766999999999996,89.2927,0.027658588886260986
30,None,2,1,0.4,0.4,199.54899999999998,147.36499999999998,93.99299999999998,71.599,60.097,58.30799999999999,78.478,68.66199999999999,50.95,58.693000000000005,88.76939999999999,0.027501845359802247
50,10,2,1,0.4,0.4,201.46300000000002,147.14100000000002,96.088,73.083,60.923,58.540000000000006,77.446,67.41900000000001,52.449,57.98,89.2532,0.042810368537902835
50,30,2,1,0.4,0.4,204.827,146.29899999999998,97.998,72.905,60.239999999999995,58.42900000000001,78.22600000000001,66.61,51.714,58.275999999999996,89.5524,0.04334723711013794
50,50,2,1,0.4,0.4,210.37999999999997,148.046,97.09,71.99000000000001,59.925,58.373000000000005,77.708,67.56700000000001,50.818000000000005,57.471000000000004,89.93679999999999,0.0440960693359375
50,None,2,1,0.4,0.4,202.26399999999998,146.52800000000002,94.627,73.20100000000001,60.73299999999999,58.386,76.80699999999999,66.565,50.912000000000006,58.959,88.8982,0.04461874008178711
100,10,2,1,0.4,0.4,204.65200000000002,146.362,95.75,72.377,60.846000000000004,58.352999999999994,76.52900000000001,66.873,51.25,57.774000000000015,89.07660000000001,0.08630972385406493
100,30,2,1,0.4,0.4,201.318,145.95300000000003,94.403,71.849,59.971999999999994,58.007000000000005,76.19,67.03899999999999,51.314,57.71999999999999,88.37650000000001,0.09374500751495361
100,50,2,1,0.4,0.4,199.113,147.96,96.83999999999999,72.332,60.075,58.032000000000004,76.57900000000001,66.91,50.818,57.637,88.62959999999998,0.09064079523086548
100,None,2,1,0.4,0.4,202.578,147.14,94.602,72.133,59.302,57.80300000000001,76.201,66.78599999999999,50.983999999999995,57.63199999999999,88.5161,0.09060390710830689
10,10,4,1,0.4,0.4,225.75300000000001,159.75799999999998,96.70099999999998,74.819,64.292,61.396,80.42999999999999,71.09799999999998,56.511,62.48299999999999,95.32409999999997,0.012177438735961913
10,30,4,1,0.4,0.4,212.51800000000003,150.97400000000002,101.69900000000001,74.378,63.29199999999999,60.664,80.32700000000001,71.30699999999999,55.11,60.085,93.03540000000001,0.01220949649810791
10,50,4,1,0.4,0.4,219.21599999999998,148.406,100.21900000000001,77.436,64.503,59.874,79.475,70.952,54.056999999999995,62.18699999999999,93.63250000000001,0.01209291934967041
10,None,4,1,0.4,0.4,207.47599999999997,151.012,97.724,75.096,64.196,61.28700000000001,79.193,70.825,56.392999999999994,60.968999999999994,92.4171,0.01207963228225708
30,10,4,1,0.4,0.4,196.71099999999998,150.262,97.293,75.04200000000002,62.124,59.434000000000005,80.447,69.408,53.73700000000001,59.359,90.3817,0.02752204179763794
30,30,4,1,0.4,0.4,207.34800000000004,149.846,100.482,76.401,63.06500000000001,59.013999999999996,80.508,70.64500000000001,54.367000000000004,58.561,92.02369999999999,0.027910506725311278
30,50,4,1,0.4,0.4,212.475,149.887,96.98100000000002,73.87899999999999,61.915000000000006,59.760000000000005,80.306,69.525,54.295,59.665,91.8688,0.02892202854156494
30,None,4,1,0.4,0.4,210.996,151.57300000000004,99.41799999999999,75.009,61.77300000000001,59.741,80.229,70.655,53.510000000000005,60.39399999999999,92.3298,0.028679823875427245
50,10,4,1,0.4,0.4,203.29700000000003,150.56,99.388,74.299,62.440999999999995,59.590999999999994,79.083,68.598,53.774,59.53499999999999,91.0566,0.04592352390289307
50,30,4,1,0.4,0.4,207.42799999999997,150.597,99.28899999999999,73.108,61.595000000000006,59.20399999999999,78.271,68.752,54.261,59.588,91.2093,0.04562619924545288
50,50,4,1,0.4,0.4,198.436,149.586,100.46599999999998,73.911,61.931000000000004,59.294999999999995,78.876,68.41499999999999,54.175,59.402999999999984,90.4494,0.04611014366149902
50,None,4,1,0.4,0.4,205.02900000000005,149.52500000000003,99.254,72.486,62.061,58.92599999999999,78.08500000000001,68.87899999999999,53.287,59.857000000000006,90.73890000000002,0.0460715913772583
100,10,4,1,0.4,0.4,203.439,152.459,99.45200000000001,73.75800000000001,63.28700000000001,59.44500000000001,79.153,68.40299999999999,52.826,59.24800000000001,91.14700000000002,0.08903500080108642
100,30,4,1,0.4,0.4,204.779,150.01,97.039,73.721,61.785000000000004,59.52600000000001,79.60600000000001,68.71900000000001,53.13000000000001,59.51800000000001,90.7833,0.08843129873275757
100,50,4,1,0.4,0.4,203.22699999999998,151.493,97.719,73.64,62.362999999999985,59.21900000000001,77.62,68.965,52.90199999999999,58.998000000000005,90.6146,0.08856202363967895
100,None,4,1,0.4,0.4,206.846,150.049,98.729,73.678,61.56,58.876999999999995,79.22200000000001,68.73,53.660000000000004,59.403999999999996,91.07549999999999,0.08904612302780152
10,10,6,1,0.4,0.4,222.70700000000002,160.08800000000002,101.25699999999999,76.85999999999999,67.973,62.040000000000006,85.12899999999999,72.34200000000001,58.529999999999994,63.736000000000004,97.06620000000001,0.011856346130371094
10,30,6,1,0.4,0.4,199.55900000000003,156.567,100.16799999999999,78.27799999999999,67.348,61.769000000000005,84.20400000000001,72.623,58.656000000000006,59.932,93.91040000000001,0.01192868709564209
10,50,6,1,0.4,0.4,216.204,155.809,105.646,79.43800000000002,66.64200000000001,61.213,85.11,74.18800000000002,59.048,60.009,96.33070000000001,0.012134735584259032
10,None,6,1,0.4,0.4,216.589,155.07999999999998,103.91899999999998,79.64,64.749,62.051,82.28,74.006,60.32899999999999,63.761,96.2404,0.011914694309234619
30,10,6,1,0.4,0.4,203.911,153.52399999999997,98.94800000000001,77.47100000000002,63.233999999999995,60.281000000000006,80.66100000000002,71.515,57.025999999999996,61.19699999999999,92.77680000000001,0.02720144510269165
30,30,6,1,0.4,0.4,204.27100000000002,156.679,103.694,77.813,63.422000000000004,60.53099999999999,80.57800000000002,71.983,56.964,61.593,93.75280000000001,0.027227053642272948
30,50,6,1,0.4,0.4,213.098,154.507,103.36600000000001,76.877,62.62199999999999,60.724000000000004,82.412,71.07500000000002,55.809000000000005,60.650999999999996,94.1141,0.028437464237213134
30,None,6,1,0.4,0.4,206.03400000000002,152.78400000000002,103.758,75.979,63.848,60.239,83.03099999999999,72.359,56.22800000000001,61.13100000000001,93.53909999999999,0.028104248046875
50,10,6,1,0.4,0.4,198.495,153.902,101.572,77.253,63.745000000000005,59.835,81.839,70.922,56.757999999999996,61.114999999999995,92.5436,0.04488685369491577
50,30,6,1,0.4,0.4,205.31199999999998,154.1,102.202,75.88,63.77299999999999,60.43000000000001,81.16,71.35800000000002,56.528000000000006,60.499,93.1242,0.045066666603088376
50,50,6,1,0.4,0.4,198.209,154.284,101.65299999999999,76.857,64.427,59.91700000000001,81.39,72.404,57.028,60.714999999999996,92.6884,0.04510765075683594
50,None,6,1,0.4,0.4,202.841,156.31400000000002,100.529,76.67999999999999,62.79600000000001,60.071000000000005,81.434,71.889,56.45200000000001,61.444,93.045,0.045056300163269045
100,10,6,1,0.4,0.4,206.507,154.374,103.051,76.038,63.377999999999986,60.284000000000006,81.08500000000001,71.27300000000001,56.80800000000001,60.847,93.36449999999999,0.08670375823974609
100,30,6,1,0.4,0.4,205.801,155.233,101.713,77.317,62.08900000000001,59.778,80.68599999999999,71.97399999999999,56.46900000000001,60.74400000000001,93.18039999999999,0.08682736873626709
100,50,6,1,0.4,0.4,203.24300000000002,153.9,101.712,76.233,63.595000000000006,59.665,81.26299999999999,70.77099999999999,56.456,61.08799999999999,92.7926,0.086896493434906
100,None,6,1,0.4,0.4,203.071,153.65,100.58399999999999,76.535,63.20600000000002,60.076,80.76000000000002,71.349,56.35799999999999,61.37700000000001,92.69659999999999,0.08759019374847413
10,10,8,1,0.4,0.4,225.8,157.397,109.57299999999998,81.59700000000001,66.58899999999998,63.587,87.453,75.33700000000002,63.249999999999986,64.744,99.5327,0.011877779960632323
10,30,8,1,0.4,0.4,208.92999999999998,161.62999999999997,105.79100000000001,82.337,68.18500000000002,62.595000000000006,85.125,76.963,63.17,64.673,97.9399,0.011987993717193604
10,50,8,1,0.4,0.4,219.825,157.61200000000002,107.55100000000002,80.28600000000002,64.75500000000001,62.605999999999995,85.16199999999999,75.86,62.362,62.963,97.8982,0.011848375797271729
10,None,8,1,0.4,0.4,204.47099999999998,160.59700000000004,109.479,80.806,67.759,62.116,85.257,74.41100000000002,61.289,63.65599999999999,96.98409999999998,0.012040684223175049
30,10,8,1,0.4,0.4,198.58599999999998,158.36399999999998,107.41699999999999,78.99600000000001,65.73700000000001,61.242999999999995,84.71799999999999,74.67800000000001,59.081,62.678,95.1498,0.027229375839233398
30,30,8,1,0.4,0.4,208.01799999999997,156.92000000000002,105.194,79.023,65.6,61.11999999999999,84.833,74.52799999999999,60.253,63.15999999999999,95.86489999999999,0.02782113552093506
30,50,8,1,0.4,0.4,211.177,156.36,105.86899999999999,79.914,64.771,61.58999999999999,85.047,74.22999999999999,61.266,63.20399999999999,96.3428,0.02748131990432739
30,None,8,1,0.4,0.4,212.238,157.794,105.096,79.369,65.7,61.39899999999999,84.525,73.41900000000001,60.181999999999995,63.563,96.3285,0.028180696964263917
50,10,8,1,0.4,0.4,208.1,156.842,104.62700000000002,79.07900000000001,65.301,60.709,84.244,74.653,59.821000000000005,63.544000000000004,95.69200000000001,0.044791290760040285
50,30,8,1,0.4,0.4,205.99699999999999,158.23200000000003,102.18300000000002,79.792,65.004,60.858000000000004,83.44800000000001,74.44500000000001,59.187,62.79599999999999,95.1942,0.04467908620834351
50,50,8,1,0.4,0.4,203.86699999999996,159.795,104.21499999999999,81.042,64.69399999999999,60.769000000000005,84.652,73.936,60.70800000000001,62.549,95.62269999999998,0.0446071195602417
50,None,8,1,0.4,0.4,202.491,158.891,101.503,79.845,64.25999999999999,60.504,84.07199999999999,73.296,60.169000000000004,62.172000000000004,94.7203,0.04485601663589477
100,10,8,1,0.4,0.4,205.733,158.868,105.201,78.765,64.285,60.95200000000001,83.82300000000001,73.83200000000001,59.775,63.153999999999996,95.4388,0.08626615285873412
100,30,8,1,0.4,0.4,201.308,157.57999999999998,104.522,78.6,63.83399999999999,61.068000000000005,84.01899999999998,73.982,59.89999999999999,62.697,94.751,0.08606579303741455
100,50,8,1,0.4,0.4,202.513,157.673,104.54899999999998,79.413,64.822,61.057,84.603,73.523,59.602999999999994,62.882000000000005,95.06379999999999,0.08650359153747558
100,None,8,1,0.4,0.4,204.33700000000005,157.412,103.923,79.59700000000001,63.712,60.490999999999985,83.357,73.58599999999998,59.821000000000005,63.342999999999996,94.9579,0.08645818233489991
10,10,2,2,0.4,0.4,226.06800000000004,152.04500000000002,103.869,79.366,67.024,62.525,84.617,73.79400000000001,58.516,60.635000000000005,96.8459,0.012077388763427734
10,30,2,2,0.4,0.4,216.99099999999999,152.78,102.022,79.841,64.368,61.361000000000004,85.855,75.288,58.222,62.121,95.8849,0.011931719779968262
10,50,2,2,0.4,0.4,221.13299999999998,152.129,104.21900000000001,78.73499999999999,67.626,62.529999999999994,86.872,71.944,58.60799999999999,61.258,96.50539999999998,0.012252132892608642
10,None,2,2,0.4,0.4,199.353,151.221,107.799,80.135,67.272,61.66399999999999,86.776,72.768,59.45799999999999,60.720000000000006,94.7166,0.01204700231552124
30,10,2,2,0.4,0.4,206.13900000000004,155.24499999999998,102.849,75.881,64.809,61.528,85.98300000000002,72.482,57.572,61.202999999999996,94.3691,0.02740335464477539
30,30,2,2,0.4,0.4,211.531,152.426,102.191,76.681,64.777,60.48700000000001,85.649,70.87700000000001,57.085,60.039,94.17429999999999,0.027472755908966064
30,50,2,2,0.4,0.4,204.469,152.041,104.72700000000002,77.386,64.77700000000002,61.56500000000001,85.58,71.46700000000001,57.02899999999998,62.678,94.17190000000002,0.028208689689636232
30,None,2,2,0.4,0.4,201.74,153.16,101.86100000000002,75.54400000000001,65.946,59.922000000000004,83.95599999999999,71.572,57.1,60.760000000000005,93.15610000000001,0.028570022583007813
50,10,2,2,0.4,0.4,206.783,150.9,102.197,75.84100000000001,64.46099999999998,60.609,84.48100000000002,71.425,56.63100000000001,60.64399999999999,93.3972,0.04553769111633301
50,30,2,2,0.4,0.4,207.044,150.526,101.447,75.88900000000001,65.4,60.727999999999994,84.82300000000001,71.53,57.041,61.657999999999994,93.60860000000001,0.04510359287261963
50,50,2,2,0.4,0.4,200.95,152.116,99.835,77.035,65.49600000000001,61.053,85.092,71.83200000000002,56.886,61.165000000000006,93.146,0.04556312322616577
50,None,2,2,0.4,0.4,206.96099999999996,153.048,103.0,76.884,64.047,60.943000000000005,84.99699999999999,71.10400000000001,56.425,59.98,93.7389,0.04572162628173828
100,10,2,2,0.4,0.4,207.032,151.739,100.89500000000001,75.804,64.60900000000001,60.4,84.08200000000001,71.072,56.63099999999999,61.13600000000001,93.34,0.08745883703231812
100,30,2,2,0.4,0.4,205.879,151.38899999999998,101.179,76.10500000000002,65.00399999999999,60.521,85.023,71.358,56.61,60.412,93.34800000000001,0.08745899438858032
100,50,2,2,0.4,0.4,209.356,152.449,102.60800000000002,75.93800000000002,65.04299999999999,60.635000000000005,84.06600000000002,71.91799999999999,56.66600000000001,60.513999999999996,93.91930000000002,0.08721064805984496
100,None,2,2,0.4,0.4,208.08399999999997,152.701,102.08200000000001,75.136,65.15599999999999,60.537,85.099,71.17099999999999,56.729,60.706,93.7401,0.08742130517959595
10,10,4,2,0.4,0.4,231.56,155.79200000000003,102.32000000000001,78.988,67.30300000000003,62.702,88.13600000000001,73.912,59.61,61.927,98.22500000000001,0.012188036441802979
10,30,4,2,0.4,0.4,204.305,153.526,103.81199999999998,79.45599999999999,65.41799999999999,62.004,84.35799999999999,73.85400000000001,59.824,63.539999999999985,95.00969999999998,0.011940124034881592
10,50,4,2,0.4,0.4,219.53000000000003,155.74999999999997,99.611,76.547,67.74600000000001,62.83200000000001,83.35799999999999,72.39399999999999,57.67900000000001,63.968999999999994,95.9416,0.012091374397277832
10,None,4,2,0.4,0.4,205.502,151.68099999999998,101.32900000000001,78.549,67.771,62.672000000000004,86.074,73.18499999999999,58.809000000000005,62.769000000000005,94.8341,0.012179572582244873
30,10,4,2,0.4,0.4,210.32200000000003,152.929,103.85500000000002,77.321,65.38900000000001,61.294000000000004,86.48,71.659,57.05299999999998,60.979,94.72810000000001,0.026893346309661864
30,30,4,2,0.4,0.4,210.637,151.97100000000003,105.25000000000003,77.027,65.065,60.746,85.046,71.65700000000001,56.802,60.47399999999999,94.46750000000002,0.02750657081604004
30,50,4,2,0.4,0.4,209.9,153.44500000000002,99.386,76.875,65.77199999999999,61.44699999999999,84.06,71.66799999999999,56.976,60.91400000000001,94.04429999999999,0.028542943000793457
30,None,4,2,0.4,0.4,210.71600000000004,150.37300000000002,103.66,76.7,64.49199999999999,61.095000000000006,85.59299999999999,72.08200000000001,56.952999999999996,60.848,94.2512,0.02851886034011841
50,10,4,2,0.4,0.4,202.54000000000002,154.372,102.29599999999999,76.245,64.668,60.26500000000001,85.025,71.319,55.69799999999999,61.524000000000015,93.3952,0.04527940273284912
50,30,4,2,0.4,0.4,206.856,153.23899999999998,103.81700000000001,76.658,64.871,60.605000000000004,85.6,71.084,56.988,61.24900000000001,94.09669999999998,0.04526701211929321
50,50,4,2,0.4,0.4,206.425,152.42400000000004,104.07999999999997,76.50399999999999,65.479,60.876,85.55699999999999,71.291,56.665,61.601,94.0902,0.04561422109603882
50,None,4,2,0.4,0.4,210.343,152.18099999999998,102.455,76.12599999999999,65.13699999999999,60.675,85.198,72.506,56.424,59.629999999999995,94.0675,0.04523325920104981
100,10,4,2,0.4,0.4,203.31999999999996,151.53699999999998,101.043,76.427,65.065,60.84999999999999,84.67999999999999,71.10900000000001,56.498000000000005,60.952999999999996,93.1482,0.08729382753372192
100,30,4,2,0.4,0.4,206.608,152.384,101.683,75.869,64.82000000000001,60.586,85.16299999999998,71.795,56.693,60.792999999999985,93.6394,0.0874110221862793
100,50,4,2,0.4,0.4,205.70100000000002,151.672,101.18800000000002,76.72,64.937,60.61099999999999,84.51,71.551,56.532999999999994,61.32299999999999,93.47460000000001,0.08722788810729981
100,None,4,2,0.4,0.4,205.13299999999998,152.44100000000003,101.527,76.44000000000003,65.00199999999998,60.766999999999996,84.84400000000001,71.358,56.194,60.404999999999994,93.4111,0.08770931720733642
10,10,6,2,0.4,0.4,229.78600000000006,153.738,104.18299999999999,80.657,67.22,63.184000000000005,86.982,73.619,61.347,62.42199999999999,98.3138,0.011869440078735352
10,30,6,2,0.4,0.4,218.09700000000004,154.59400000000002,109.407,79.188,67.90899999999999,62.931999999999995,86.235,76.234,60.806,63.566999999999986,97.8969,0.012159583568572998
10,50,6,2,0.4,0.4,220.705,159.942,109.05799999999999,78.78399999999998,67.96000000000001,63.414,90.28799999999998,75.53299999999999,61.02,63.77600000000001,99.048,0.01183037281036377
10,None,6,2,0.4,0.4,210.78699999999998,156.413,107.803,82.081,67.05100000000002,63.233000000000004,89.648,75.874,62.017999999999994,64.332,97.924,0.011933741569519042
30,10,6,2,0.4,0.4,213.07199999999997,156.065,104.13,78.81899999999999,66.341,61.529999999999994,86.893,73.916,58.553,62.75699999999999,96.20759999999999,0.02718393325805664
30,30,6,2,0.4,0.4,207.42100000000005,153.386,102.94599999999998,76.986,66.212,61.361000000000004,88.164,72.65299999999999,59.134,61.91799999999999,95.0181,0.027418766021728515
30,50,6,2,0.4,0.4,211.098,152.911,103.551,75.92599999999999,66.00999999999999,60.635000000000005,87.15099999999998,74.058,58.787,62.122,95.22489999999999,0.028048386573791505
30,None,6,2,0.4,0.4,204.936,152.872,102.20399999999998,78.906,66.428,60.891,86.628,72.719,59.16799999999999,62.342,94.70939999999999,0.028388161659240723
50,10,6,2,0.4,0.4,202.639,155.205,103.05,77.1,65.364,61.138999999999996,87.57,72.958,58.73599999999999,61.235,94.49960000000002,0.044872753620147705
50,30,6,2,0.4,0.4,203.20599999999996,153.54299999999998,102.864,78.305,65.80600000000001,61.50599999999999,87.15799999999999,73.11999999999999,58.287,62.312,94.61069999999998,0.04476173162460327
50,50,6,2,0.4,0.4,202.84599999999998,154.183,103.175,78.46199999999999,65.45199999999998,61.443000000000005,86.24099999999999,72.933,59.132999999999996,62.766,94.6634,0.04476819038391113
