n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,mae_gen_0,mae_gen_1,mae_gen_2,mae_gen_3,mae_gen_4,mae_gen_5,mae_gen_6,mae_gen_7,mae_gen_8,mae_gen_9,final_mae,time
10,10,2,1,0.4,0.4,69.725,40.396,33.041,39.31499999999999,40.283,29.451,35.465999999999994,40.387,49.888,45.06300000000001,42.30149999999999,0.011787519454956055
10,30,2,1,0.4,0.4,72.22599999999998,41.233000000000004,33.17,39.87499999999999,39.909000000000006,29.429000000000002,36.694,40.98299999999999,49.42999999999999,44.855,42.7804,0.010453481674194336
10,50,2,1,0.4,0.4,70.217,39.986000000000004,32.769999999999996,38.980999999999995,40.54299999999999,30.288,36.522,39.595000000000006,50.415000000000006,44.666999999999994,42.398399999999995,0.011448245048522949
10,None,2,1,0.4,0.4,67.785,40.056000000000004,32.962,40.181,39.528000000000006,29.407999999999998,36.279,39.242,50.648,42.589000000000006,41.8678,0.01179983139038086
30,10,2,1,0.4,0.4,66.28200000000001,37.88099999999999,30.955000000000002,37.992000000000004,37.948,28.258,34.266,38.347,48.076,41.617000000000004,40.162200000000006,0.02648935079574585
30,30,2,1,0.4,0.4,66.17699999999999,38.233,30.734,38.150999999999996,38.013,27.871999999999996,34.292,38.255,49.917,41.617999999999995,40.3262,0.026352033615112305
30,50,2,1,0.4,0.4,66.317,38.864,31.125,37.64200000000001,38.614999999999995,27.987000000000002,33.083000000000006,37.88,48.91100000000001,42.22,40.2644,0.026640877723693848
30,None,2,1,0.4,0.4,64.94000000000001,37.767999999999994,31.756999999999998,38.388999999999996,37.007,29.099,33.753,38.517,47.980999999999995,41.455000000000005,40.0666,0.026259074211120604
50,10,2,1,0.4,0.4,66.373,38.245000000000005,31.033000000000005,37.414,38.519999999999996,27.937,33.467,38.044000000000004,48.028999999999996,41.687,40.0749,0.04162898302078247
50,30,2,1,0.4,0.4,66.856,38.107000000000006,31.177999999999997,37.817,37.94500000000001,28.428999999999995,33.449,38.034,47.686,41.724000000000004,40.122499999999995,0.04197221040725708
50,50,2,1,0.4,0.4,65.228,38.257000000000005,31.244,37.19500000000001,38.147999999999996,27.830000000000002,33.596000000000004,37.919,48.14,42.126999999999995,39.9684,0.04191365957260132
50,None,2,1,0.4,0.4,66.50300000000001,38.859,30.375,38.294,38.50699999999999,27.647,33.513000000000005,38.261,48.156,41.609,40.172399999999996,0.04197478055953979
100,10,2,1,0.4,0.4,65.92999999999998,37.790000000000006,30.808999999999997,37.421,38.23100000000001,27.595999999999997,32.606,37.669,47.596000000000004,40.821000000000005,39.6469,0.08113964319229126
100,30,2,1,0.4,0.4,67.10400000000001,37.775,30.795000000000005,37.833999999999996,38.358999999999995,27.805999999999994,33.325,37.88799999999999,47.286,41.054,39.9226,0.08499667406082154
100,50,2,1,0.4,0.4,64.197,37.82000000000001,30.766999999999996,37.48100000000001,37.275999999999996,27.371,32.967,38.158,47.778,41.299,39.5114,0.08651323556900024
